# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
DIP2A	DIP2A	NM_001353944.2	protein_coding	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0
DIP2A	DIP2A	NM_015151.4	protein_coding	0	4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0
DIP2A	DIP2A	NM_206889.3	protein_coding	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0
DIP2A	DIP2A	NM_206890.3	protein_coding	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0
DIP2A	DIP2A	NM_206891.3	protein_coding	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0
DNAJC28	DNAJC28	NM_001040192.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
DNAJC28	DNAJC28	NM_001320746.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
DNAJC28	DNAJC28	NM_017833.4	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
DNMT3L	DNMT3L	NM_013369.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DNMT3L	DNMT3L	NM_175867.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DNMT3L-AS1	DNMT3L-AS1.2	NR_135514.1.2		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DONSON	DONSON	NM_017613.4	protein_coding	0	2	2	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	0
DOP1B	DOP1B	NM_001320714.1	protein_coding	1	5	15	0	0	0	0	0	0	0	0	0	0	15	0	0	0	1	5	0
DOP1B	DOP1B	NM_005128.3	protein_coding	1	5	15	0	0	0	0	0	0	0	0	0	0	15	0	0	0	1	5	0
DSCAM	DSCAM	NM_001271534.3	protein_coding	0	17	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	17	0
DSCAM	DSCAM	NM_001389.5	protein_coding	0	17	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	17	0
DSCAM	DSCAM	NR_073202.3		0	1	0	17	0	0	0	0	0	0	0	0	2	0	16	1	0	0	0	0
DYRK1A	DYRK1A	NM_001347721.2	protein_coding	0	3	15	1	0	0	0	0	0	0	0	0	1	15	0	0	0	0	3	0
DYRK1A	DYRK1A	NM_001347722.2	protein_coding	0	3	15	1	0	0	0	0	0	0	0	0	1	15	0	0	0	0	3	0
DYRK1A	DYRK1A	NM_001347723.1	protein_coding	1	3	13	2	0	0	1	0	0	0	0	0	1	13	0	0	1	0	3	0
DYRK1A	DYRK1A	NM_001396.4	protein_coding	0	3	15	1	0	0	0	0	0	0	0	0	1	15	0	0	0	0	3	0
DYRK1A	DYRK1A	NM_101395.2	protein_coding	0	3	7	9	9	0	0	0	0	0	0	0	0	7	0	0	0	0	3	0
DYRK1A	DYRK1A	NM_130436.2	protein_coding	0	3	15	1	0	0	0	0	0	0	0	0	1	15	0	0	0	0	3	0
DYRK1A	DYRK1A	NM_130438.2	protein_coding	0	4	5	10	8	0	0	0	0	0	0	0	2	5	0	0	0	0	4	0
ETS2	ETS2	NM_001256295.2	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
ETS2	ETS2	NM_005239.6	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
EVA1C	EVA1C	NM_001286556.2	protein_coding	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
EVA1C	EVA1C	NM_001320744.2	protein_coding	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
EVA1C	EVA1C	NM_001320745.2	protein_coding	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
EVA1C	EVA1C	NM_058187.5	protein_coding	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
EVA1C	EVA1C	NR_104472.2		0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
EVA1C	EVA1C	NR_135467.2		0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
FAM3B	FAM3B	NM_058186.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FAM3B	FAM3B	NM_206964.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FTCD	FTCD.2	NM_001320412.2	protein_coding	0	8	6	16	0	0	0	0	0	0	16	0	0	6	0	0	0	0	8	0
FTCD	FTCD.2	NM_006657.3.2	protein_coding	0	8	5	17	0	0	0	0	0	0	16	0	1	5	0	0	0	0	8	0
FTCD	FTCD.2	NM_206965.2	protein_coding	0	8	5	17	1	0	0	0	0	0	16	0	0	5	0	0	0	0	8	0
FTCD-AS1	FTCD-AS1	NM_001350598.1	protein_coding	0	0	0	7	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0
GABPA	GABPA	NM_001197297.2	protein_coding	0	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0
GABPA	GABPA	NM_002040.4	protein_coding	0	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0
GART	GART	NM_000819.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GART	GART	NM_001136005.1.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GART	GART	NM_001136006.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GART	GART	NM_175085.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GRIK1	GRIK1	NM_000830.5	protein_coding	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0
GRIK1	GRIK1	NM_001320616.2	protein_coding	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0
GRIK1	GRIK1	NM_001320618.2	protein_coding	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0
GRIK1	GRIK1	NM_001320621.2	protein_coding	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0
GRIK1	GRIK1	NM_001320630.1	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0
GRIK1	GRIK1	NM_001330993.2	protein_coding	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0
GRIK1	GRIK1	NM_001330994.2	protein_coding	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0
GRIK1	GRIK1	NM_175611.3	protein_coding	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0
HLCS	HLCS	NM_000411.8	protein_coding	0	13	10	1	0	0	0	0	0	0	1	0	0	10	0	0	0	0	13	0
HLCS	HLCS	NM_001242784.3	protein_coding	0	13	10	1	0	0	0	0	0	0	1	0	0	10	0	0	0	0	13	0
HLCS	HLCS	NM_001242785.2	protein_coding	0	13	10	1	0	0	0	0	0	0	1	0	0	10	0	0	0	0	13	0
HLCS	HLCS	NM_001352514.2	protein_coding	0	13	10	1	0	0	0	0	0	0	1	0	0	10	0	0	0	0	13	0
HLCS	HLCS	NM_001352515.2	protein_coding	0	13	10	1	0	0	0	0	0	0	1	0	0	10	0	0	0	0	13	0
HLCS	HLCS	NM_001352516.2	protein_coding	0	13	10	1	0	0	0	0	0	0	1	0	0	10	0	0	0	0	13	0
HLCS	HLCS	NM_001352517.1	protein_coding	0	13	10	1	0	0	0	0	0	0	1	0	0	10	0	0	0	0	13	0
HLCS	HLCS	NM_001352518.1	protein_coding	0	13	10	1	0	0	0	0	0	0	1	0	0	10	0	0	0	0	13	0
HLCS	HLCS	NR_148020.2		0	0	0	24	0	0	0	0	0	0	1	0	0	0	23	0	0	0	0	0
HLCS	HLCS	NR_148021.1		0	0	0	24	0	0	0	0	0	0	1	0	0	0	23	0	0	0	0	0
IFNAR1	IFNAR1	NM_000629.3	protein_coding	0	5	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0
IFNAR2	IFNAR2	NM_000874.5	protein_coding	0	0	5	7	5	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0
IFNAR2	IFNAR2	NM_001289125.1	protein_coding	0	4	5	3	0	0	0	0	0	0	2	0	1	5	0	0	0	0	4	0
IFNAR2	IFNAR2	NM_001289126.1	protein_coding	0	0	3	9	5	0	0	0	0	0	2	0	2	3	0	0	0	0	0	0
IFNAR2	IFNAR2	NM_001289128.1	protein_coding	0	0	3	9	5	0	0	0	0	0	2	0	2	3	0	0	0	0	0	0
IFNAR2	IFNAR2	NM_207584.3	protein_coding	0	0	5	7	5	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0
IFNAR2	IFNAR2	NM_207585.2	protein_coding	0	4	5	3	0	0	0	0	0	0	2	0	1	5	0	0	0	0	4	0
IFNGR2	IFNGR2.2	NM_001329128.1	protein_coding	0	3	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3	0
IFNGR2	IFNGR2.2	NM_005534.3.2	protein_coding	0	3	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3	0
IGSF5	IGSF5	NM_001080444.1	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
IL10RB	IL10RB	NM_000628.5	protein_coding	0	2	2	6	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	6
IL10RB-DT	IL10RB-DT	NR_038974.1		0	0	0	9	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	2
ITGB2	ITGB2	NM_000211.5	protein_coding	0	20	6	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	20	0
ITGB2	ITGB2	NM_001127491.3	protein_coding	0	20	6	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	20	0
ITGB2	ITGB2	NM_001303238.2	protein_coding	0	17	4	7	0	2	7	0	0	0	0	0	0	4	0	0	0	0	15	0
ITSN1	ITSN1	NM_001001132.2	protein_coding	0	3	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0
ITSN1	ITSN1	NM_001331008.2	protein_coding	0	3	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0
